id;name;learning_language;base_language;description
1;New Taiwan Dollar connecting Fiji Dollar;English;Polish;Fantastic
2;Soft;Polish;English;recontextualize synthesizing
3;FTP Tasty;English;English;enable
4;Refined Frozen Shoes violet;English;Polish;Legacy
5;fuchsia;English;Polish;Austria fresh-thinking
6;Handcrafted;English;English;auxiliary Soap Kids
7;Burundi Franc Kids;Polish;Polish;Optimized Investor
8;Product FTP New Zealand Dollar;English;Polish;withdrawal compressing invoice
9;Rhode Island primary back-end;English;English;matrices programming array
10;matrix;Polish;Polish;neural
