id;word;translation;example_sentence;translation_example_sentence;image;image_content_type;audio;audio_content_type
1;Supervisor convergence;customer loyalty azure;Up-sized Bedfordshire;knowledge user extend Lao People's Democratic Republic;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;De-engineered;turn-key Concrete;killer Buckinghamshire New York;Guadeloupe navigate Sleek Concrete Pizza;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;portal China;Generic UAE Dirham Towels;Avon;Kids;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;firewall purple;back up Stream;Shores;Agent partnerships intermediate;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;4th generation frictionless virtual;Agent Multi-channelled;Nuevo Sol Directives models;calculate Triple-buffered;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;orchestrate;Keyboard Associate invoice;Refined Fresh Chair New York;Locks Hawaii;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;invoice solution open-source;program Pizza;New Caledonia impactful;context-sensitive;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;Gardens;content;Soft budgetary management expedite;synergies Down-sized;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;Wisconsin;Home Loan Account;web-enabled bypass compress;payment;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;monitor Computers B2C;EXE;magenta;convergence Inlet strategic;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
